Código;Nome;  Preço (BRL)  
462;Portátil Bateria; R$ 24.387,00 
463;Moderno Teclado Mecânico; R$ 180.796,00 
464;Moderno Mouse; R$ 130.579,00 
466;Premium Hub; R$ 67.702,00 
469;Avançado Hub; R$ 7.846,00 
470;Mini Cadeira; R$ 5.591,00 
471;Max Agenda; R$ 76.839,00 
473;Flex Parafuso; R$ 16.956,00 
475;Max Cobertor; R$ 154.114,00 
476;Max Faca; R$ 89.835,00 
477;Turbo Capa; R$ 179.382,00 
481;Pro Cooler; R$ 21.405,00 
482;Moderno Ferramenta; R$ 37.478,00 
483;Premium Microfone; R$ 52.616,00 
484;Classic Caneca; R$ 193.724,00 
485;Moderno Placa-Mãe; R$ 136.596,00 
486;Flex Cobertor; R$ 100.294,00 
489;Rústico Estojo; R$ 158.414,00 
490;Classic Almofada; R$ 147.838,00 
493;Moderno Joystick; R$ 51.762,00 
494;Max Sensor; R$ 132.141,00 
495;Mini Bateria; R$ 167.935,00 
496;Moderno Mesa; R$ 159.732,00 
497;Smart Cadeira; R$ 23.343,00 
498;Compacto Camera; R$ 44.229,00 
500;Eco Cobertor; R$ 9.285,00 
502;Max PenDrive; R$ 119.189,00 
505;Smart Mesa; R$ 4.673,00 
506;Moderno PenDrive; R$ 38.275,00 
507;Max Batedeira; R$ 109.742,00 
508;Flex Batedeira; R$ 3.887,00 
509;Econômico Calculadora; R$ 49.683,00 
511;Turbo Placa-Mãe; R$ 6.539,00 
512;Strong Caderno; R$ 33.374,00 
513;Avançado Camiseta; R$ 17.984,00 
515;Max Relógio; R$ 134.188,00 
519;Compacto Cartucho; R$ 135.336,00 
520;Portátil Livro; R$ 62.543,00 
521;Turbo Suporte; R$ 52.675,00 
523;Classic Faca; R$ 54.417,00 
524;Elegante Camera; R$ 159.452,00 
525;Avançado Placa-Mãe; R$ 87.348,00 
526;Elegante Teclado; R$ 25.233,00 
527;Light Camera; R$ 70.784,00 
529;Light Sofá; R$ 65.447,00 
530;Flex Caneca; R$ 68.626,00 
531;Classic Fone; R$ 17.719,00 
532;Active Capa; R$ 39.892,00 
533;Econômico Mochila; R$ 163.542,00 
534;Active Fonte; R$ 86.333,00 
536;Elegante Cooler; R$ 18.113,00 
537;Premium Sofá; R$ 106.905,00 
538;Max Calculadora; R$ 18.780,00 
539;Eco Parafuso; R$ 172.685,00 
541;Elegante Panela; R$ 14.943,00 
542;Turbo Caixa; R$ 2.274,00 
544;Econômico Liquidificador; R$ 54.997,00 
545;Portátil Fogão; R$ 26.938,00 
547;Active Placa; R$ 72.724,00 
548;Pro Régua; R$ 28.702,00 
550;Elegante Relógio; R$ 1.822,00 
551;Max Filtro; R$ 80.691,00 
553;Mini Microfone; R$ 127.903,00 
557;Econômico Hub; R$ 18.457,00 
558;Light Mesa; R$ 139.575,00 
560;Smart Impressora; R$ 94.427,00 
561;Pro Caixa; R$ 30.684,00 
562;Pro Suporte; R$ 38.035,00 
564;Max Caneca; R$ 138.606,00 
565;Smart Suporte; R$ 37.274,00 
566;Econômico Caderno; R$ 123.851,00 
567;Pro Bateria; R$ 97.998,00 
568;Classic Sofá; R$ 187.291,00 
569;Max Monitor; R$ 146.793,00 
571;Pro Controle; R$ 81.638,00 
573;Moderno Relógio; R$ 49.868,00 
574;Rústico Fita; R$ 31.353,00 
575;Classic Parafuso; R$ 8.218,00 
576;Eco Carregador; R$ 9.004,00 
577;Avançado Liquidificador; R$ 183.219,00 
579;Active Teclado; R$ 58.638,00 
580;Smart Tela; R$ 176.476,00 
581;Ultra Processador; R$ 6.748,00 
582;Compacto Sensor; R$ 101.568,00 
583;Mini Impressora; R$ 101.985,00 
584;Smart Cooler; R$ 25.162,00 
585;Elegante Agenda; R$ 127.094,00 
588;Compacto Agenda; R$ 193.921,00 
589;Econômico Filtro; R$ 128.212,00 
590;Classic Cartucho; R$ 91.832,00 
591;Active Controle; R$ 59.197,00 
592;Turbo Teclado Mecânico; R$ 137.355,00 
593;Avançado PenDrive; R$ 195.137,00 
594;Premium Camiseta; R$ 58.261,00 
598;Pro Lâmpada; R$ 83.707,00 
599;Portátil Almofada; R$ 69.642,00 
601;Flex Memória; R$ 31.818,00 
602;Classic Adaptador; R$ 173.333,00 
604;Elegante HD; R$ 176.953,00 
605;Eco Cabo; R$ 82.069,00 
607;Light Joystick; R$ 163.088,00 
609;Eco HD; R$ 1.413,00 
614;Compacto Sofá; R$ 12.941,00 
615;Portátil Relógio; R$ 42.243,00 
616;Mini Filtro; R$ 37.752,00 
617;Flex Mochila; R$ 38.682,00 
619;Premium Mesa; R$ 180.436,00 
620;Pro Ferramenta; R$ 142.392,00 
621;Light Filtro; R$ 41.675,00 
622;Flex Joystick; R$ 21.907,00 
625;Eco Panela; R$ 49.043,00 
627;Compacto Suporte; R$ 41.871,00 
628;Mini Caixa; R$ 136.277,00 
630;Portátil Caixa; R$ 40.341,00 
633;Pro Colher; R$ 133.116,00 
634;Rústico Panela; R$ 177.463,00 
635;Light Cooler; R$ 19.619,00 
637;Strong Capa; R$ 79.903,00 
639;Mini Panela; R$ 163.651,00 
641;Moderno Agenda; R$ 84.963,00 
643;Eco PenDrive; R$ 173.808,00 
646;Rústico Caixa; R$ 105.936,00 
648;Econômico Microfone; R$ 182.932,00 
649;Premium Parafuso; R$ 129.067,00 
652;Flex Filtro; R$ 22.514,00 
653;Moderno Hub; R$ 55.568,00 
656;Elegante Placa; R$ 112.891,00 
657;Light Monitor; R$ 109.063,00 
658;Econômico Carregador; R$ 19.302,00 
659;Max Livro; R$ 97.195,00 
660;Strong Cartucho; R$ 52.388,00 
661;Pro Relógio; R$ 17.774,00 
662;Classic Carregador; R$ 63.845,00 
664;Portátil Monitor; R$ 4.787,00 
665;Max Cooler; R$ 75.827,00 
667;Econômico Monitor; R$ 100.271,00 
668;Strong Hub; R$ 169.283,00 
669;Classic HD; R$ 47.518,00 
671;Max Placa; R$ 12.391,00 
672;Strong Gabinete; R$ 79.737,00 
673;Moderno Sofá; R$ 190.139,00 
674;Max Placa-Mãe; R$ 82.374,00 
675;Econômico Colher; R$ 197.777,00 
676;Strong Panela; R$ 3.533,00 
680;Avançado Fogão; R$ 127.999,00 
681;Elegante Fonte; R$ 26.799,00 
684;Strong Ferramenta; R$ 21.401,00 
686;Turbo Cooler; R$ 198.628,00 
687;Rústico Parafuso; R$ 2.971,00 
689;Light Ferramenta Elétrica; R$ 85.539,00 
693;Econômico Mouse; R$ 67.801,00 
695;Pro Cabo; R$ 25.512,00 
697;Avançado Colher; R$ 58.173,00 
698;Econômico Controle; R$ 15.939,00 
701;Max Microfone; R$ 178.056,00 
707;Mini Fita; R$ 13.327,00 
708;Premium Sensor; R$ 113.084,00 
709;Moderno Cabo; R$ 122.551,00 
710;Avançado Agenda; R$ 128.692,00 
712;Compacto Capa; R$ 191.224,00 
713;Ultra Almofada; R$ 106.429,00 
716;Moderno Camiseta; R$ 196.133,00 
717;Eco Controle; R$ 43.277,00 
718;Pro Capa; R$ 110.692,00 
721;Avançado Parafuso; R$ 161.999,00 
723;Elegante Joystick; R$ 23.185,00 
724;Compacto Cooler; R$ 8.873,00 
726;Avançado Batedeira; R$ 94.473,00 
728;Elegante Faca; R$ 105.328,00 
732;Rústico Monitor; R$ 39.938,00 
733;Pro Panela; R$ 4.069,00 
734;Rústico Faca; R$ 124.014,00 
735;Rústico Calculadora; R$ 120.752,00 
736;Flex Placa; R$ 190.832,00 
737;Max Teclado; R$ 572,00 
738;Moderno Suporte; R$ 10.884,00 
741;Mini Placa; R$ 78.534,00 
742;Light Controle; R$ 79.862,00 
743;Smart Cobertor; R$ 8.393,00 
745;Pro Memória; R$ 35.865,00 
747;Rústico Carregador; R$ 57.266,00 
748;Smart Hub; R$ 5.744,00 
755;Avançado Carregador; R$ 34.771,00 
758;Smart Placa-Mãe; R$ 106.823,00 
759;Avançado Suporte; R$ 178.006,00 
760;Classic Roteador; R$ 187.886,00 
761;Light Fonte; R$ 30.959,00 
764;Elegante Memória; R$ 27.469,00 
766;Turbo Teclado; R$ 13.596,00 
770;Rústico Ferramenta Elétrica; R$ 59.694,00 
773;Premium Memória; R$ 110.358,00 
774;Rústico Bateria; R$ 190.169,00 
775;Strong Colher; R$ 178.636,00 
778;Strong Fonte; R$ 58.682,00 
779;Turbo Filtro; R$ 128.356,00 
780;Eco Régua; R$ 101.419,00 
785;Classic Panela; R$ 10.896,00 
787;Eco Teclado Mecânico; R$ 12.602,00 
789;Econômico Lâmpada; R$ 35.153,00 
793;Ultra Caixa; R$ 82.512,00 
800;Ultra Controle; R$ 12.984,00 
801;Avançado Sensor; R$ 56.388,00 
804;Avançado Relógio; R$ 108.162,00 
809;Flex Sensor; R$ 193.876,00 
810;Eco Fogão; R$ 123.605,00 
812;Ultra Livro; R$ 38.063,00 
815;Eco Relógio; R$ 126.214,00 
817;Econômico PenDrive; R$ 45.791,00 
823;Elegante Sofá; R$ 22.443,00 
824;Portátil Camiseta; R$ 151.593,00 
826;Avançado Bateria; R$ 116.346,00 
827;Eco Placa; R$ 53.296,00 
828;Avançado Estojo; R$ 23.548,00 
829;Premium Mochila; R$ 17.137,00 
830;Compacto Joystick; R$ 81.438,00 
831;Mini Tela; R$ 18.582,00 
834;Elegante Processador; R$ 184.295,00 
835;Avançado Gabinete; R$ 42.156,00 
836;Eco Fita; R$ 37.526,00 
837;Moderno Livro; R$ 169.916,00 
840;Elegante Monitor; R$ 161.985,00 
842;Smart Parafuso; R$ 137.471,00 
845;Strong Adaptador; R$ 148.776,00 
846;Compacto Cabo; R$ 26.525,00 
847;Active Livro; R$ 77.572,00 
848;Mini Sensor; R$ 167.656,00 
849;Active Impressora; R$ 4.573,00 
850;Active Agenda; R$ 23.836,00 
851;Active Caixa; R$ 19.351,00 
853;Classic Batedeira; R$ 110.171,00 
854;Econômico Teclado Mecânico; R$ 31.654,00 
856;Premium Joystick; R$ 13.229,00 
857;Compacto Mochila; R$ 1.760,00 
860;Classic Teclado Mecânico; R$ 116.625,00 
861;Rústico Fonte; R$ 63.629,00 
863;Avançado Almofada; R$ 50.384,00 
867;Ultra Ferramenta Elétrica; R$ 114.745,00 
871;Econômico Cooler; R$ 2.817,00 
874;Moderno Panela; R$ 66.876,00 
876;Light Colher; R$ 159.685,00 
877;Portátil Adaptador; R$ 46.933,00 
883;Avançado HD; R$ 94.632,00 
885;Ultra Fogão; R$ 72.621,00 
887;Pro HD; R$ 48.341,00 
888;Portátil Colher; R$ 189.073,00 
890;Flex Almofada; R$ 37.551,00 
892;Eco Batedeira; R$ 105.687,00 
893;Classic PenDrive; R$ 15.154,00 
894;Strong Agenda; R$ 96.047,00 
895;Compacto Tela; R$ 20.014,00 
900;Avançado Cobertor; R$ 116.433,00 
901;Classic Liquidificador; R$ 193.388,00 
902;Mini Caneca; R$ 73.583,00 
905;Max Ferramenta; R$ 1.669,00 
906;Eco Camera; R$ 60.552,00 
907;Moderno Camera; R$ 9.247,00 
910;Strong Camera; R$ 38.733,00 
911;Portátil Fonte; R$ 26.137,00 
913;Rústico Memória; R$ 136.612,00 
916;Turbo Parafuso; R$ 98.893,00 
920;Active Mochila; R$ 197.012,00 
923;Flex SSD; R$ 18.258,00 
924;Ultra Régua; R$ 125.076,00 
925;Econômico Bateria; R$ 182.067,00 
928;Avançado Fita; R$ 142.983,00 
